"Yala Production 000 Mt.","Maha Production 000 Mt.","Total Production","Total prod previous year","Total Production Average(previous year & current year)","Unskilled No.","Housemaid No.","Total labourers","Year"
0.035224601723687646,0.03532748839608046,0.03528860153493078,0.0363722007918624,0.035821924245747046,0.036956081388330814,0.04458541879697899,0.04227655092001822,2000
0.03532253852180726,0.03199508073154283,0.03325272067714631,0.036410393512329886,0.03480685485134246,0.03450260849434895,0.04612686794754498,0.0426090160283837,2001
0.03545312091930008,0.03518863807672472,0.03528860153493078,0.03430979388661854,0.03480685485134246,0.03770638523038255,0.04867651543691585,0.04535662278002132,2002
0.038260642465395664,0.03758876502558813,0.03784270661106039,0.036410393512329886,0.03713775494219744,0.04574579788509396,0.04575058751771523,0.045749138030255265,2003
0.031274484199529905,0.033125719046296666,0.03242602966216716,0.03904569122458593,0.03568407531564272,0.04465031293664377,0.04956317385142529,0.04807639378881366,2004
0.04025202402716114,0.039929384694727656,0.0400513288749599,0.033456823129511516,0.0368056643378552,0.04330679366024258,0.05628195468489317,0.05235527915809701,2005
0.03937059284408462,0.04234934740349903,0.04122350270216914,0.04132452354581217,0.04127322284532724,0.042281585104711826,0.04471906786502341,0.04398141197900247,2006
0.0378036040741708,0.03913595429840917,0.03863238161044345,0.042533959693949,0.04055264889250916,0.05392266289654488,0.045904866978813484,0.04833129413059905,2007
0.05712979890310786,0.042150989804419406,0.0478123534782716,0.039860469261225474,0.043898618377768726,0.06122210647286918,0.04840204151193872,0.05228178028653926,2008
0.041394620005223294,0.04728845162058158,0.04506082965229623,0.049332263937160246,0.04716313167705755,0.05185260973452059,0.050983083077695855,0.051246228100463885,2009
0.05455079655262471,0.05216804855794026,0.053068627692915135,0.046493271715744314,0.049832388232714055,0.06244470901439426,0.05056778429578602,0.05416210035379542,2010
0.06199399320971533,0.0395921767762923,0.04805912691557881,0.05475563024354225,0.05135499232432094,0.06581177501632893,0.04820829521195486,0.05353563975919893,2011
0.036856881692347875,0.053893759669932956,0.047454531994176145,0.0495868820736101,0.04850402581534509,0.0649508892030657,0.05339325117055056,0.05689094143609914,2012
0.05791329328806477,0.05645257269806006,0.057004664017965105,0.048963067639307946,0.05304677464832858,0.038196253028085755,0.03313599913890533,0.03466738476627984,2013
0.03737921128231914,0.0443527591542032,0.04171704957678356,0.058816789519917506,0.05013314953475986,0.04269394217493035,0.028221480724037098,0.032601284572618135,2014
0.06339775398276312,0.05706748125520689,0.05946005971917183,0.04304319596684872,0.05138005576615809,0.03106319914676191,0.0226665231508889,0.02520761085506398,2015
0.049523374249151215,0.0575832110128139,0.054536929644893026,0.061350239977593604,0.05789028478335787,0.02158312043720184,0.01850142618804155,0.019434039923335984,2016
0.06388743797336119,0.06168921331376205,0.06252005034178121,0.056270608155418914,0.05944421817726119,0.06310096650709791,0.025140824856932708,0.036628709972827314,2017
